episode:105, score:8.3224928, epsilon:1.0, global step:15444, avg_qmax:0.00012775942952101483, memory:15444
episode:106, score:5.194297600000002, epsilon:1.0, global step:15563, avg_qmax:0.00016477739139748743, memory:15563
episode:107, score:5.692153600000001, epsilon:1.0, global step:15687, avg_qmax:0.00013381735246573425, memory:15687
episode:108, score:4.26994496, epsilon:1.0, global step:15791, avg_qmax:0.00018707986665643917, memory:15791
episode:109, score:7.95573888, epsilon:1.0, global step:15963, avg_qmax:0.0001193754986869926, memory:15963
episode:110, score:8.322492800000001, epsilon:1.0, global step:16146, avg_qmax:0.00018457109208760752, memory:16146
episode:111, score:5.587603840000002, epsilon:1.0, global step:16283, avg_qmax:0.00015554897755882716, memory:16283
episode:112, score:7.95573888, epsilon:1.0, global step:16461, avg_qmax:0.00010575952632882873, memory:16461
episode:113, score:6.777479680000002, epsilon:1.0, global step:16608, avg_qmax:0.00023176116290687167, memory:16608
episode:114, score:5.886317440000002, epsilon:1.0, global step:16746, avg_qmax:0.00021010766239788094, memory:16746
episode:115, score:6.279623680000001, epsilon:1.0, global step:16896, avg_qmax:0.00026522215359364054, memory:16896
episode:116, score:6.355961600000002, epsilon:1.0, global step:17034, avg_qmax:0.0002115484474158976, memory:17034
episode:117, score:7.203976320000004, epsilon:1.0, global step:17197, avg_qmax:0.0001850790876277715, memory:17197
episode:118, score:7.116021760000001, epsilon:1.0, global step:17354, avg_qmax:0.00020014752413528625, memory:17354
episode:119, score:30.916322559999994, epsilon:1.0, global step:17580, avg_qmax:0.00015827985204440367, memory:17580
episode:120, score:5.851467519999999, epsilon:1.0, global step:17714, avg_qmax:0.00013533525679353017, memory:17714
episode:121, score:4.248371200000001, epsilon:1.0, global step:17813, avg_qmax:0.00022328701345601315, memory:17813
episode:122, score:5.083109759999999, epsilon:1.0, global step:17934, avg_qmax:0.0001644826121069058, memory:17934
episode:123, score:6.59991104, epsilon:1.0, global step:18091, avg_qmax:0.00017653573012217853, memory:18091
episode:124, score:4.56533952, epsilon:1.0, global step:18186, avg_qmax:0.0001830995353693173, memory:18186
episode:125, score:7.57736832, epsilon:1.0, global step:18355, avg_qmax:0.00015021473105936617, memory:18355
episode:126, score:3.3289971199999995, epsilon:1.0, global step:18442, avg_qmax:0.00022168483333555102, memory:18442
episode:127, score:4.565339520000002, epsilon:1.0, global step:18548, avg_qmax:0.00025487752420200914, memory:18548
episode:128, score:5.660622719999999, epsilon:1.0, global step:18680, avg_qmax:0.00014070459561673599, memory:18680
episode:129, score:5.692153600000002, epsilon:1.0, global step:18805, avg_qmax:0.0001537480782644707, memory:18805
episode:130, score:7.723406080000003, epsilon:1.0, global step:18979, avg_qmax:0.00026080153824212216, memory:18979
episode:131, score:5.084769280000001, epsilon:1.0, global step:19089, avg_qmax:0.00017766881273928448, memory:19089
episode:132, score:3.3439327999999993, epsilon:1.0, global step:19186, avg_qmax:9.25858909523441e-05, memory:19186
episode:133, score:6.058907520000002, epsilon:1.0, global step:19324, avg_qmax:0.00022972332533135014, memory:19324
episode:134, score:5.98920768, epsilon:1.0, global step:19447, avg_qmax:0.00011756940963036831, memory:19447
episode:135, score:27.584006400000003, epsilon:1.0, global step:19614, avg_qmax:0.00011913704743355611, memory:19614
episode:136, score:6.133585920000001, epsilon:1.0, global step:19756, avg_qmax:0.00022170196888522773, memory:19756
episode:137, score:5.55441344, epsilon:1.0, global step:19890, avg_qmax:0.00024360220849143504, memory:19890
episode:138, score:6.060567040000002, epsilon:0.9999676000000011, global step:20035, avg_qmax:0.007856752025550749, memory:20000
episode:139, score:6.355961600000001, epsilon:0.999847900000005, global step:20168, avg_qmax:0.03587014012430843, memory:20000
episode:140, score:6.621484800000001, epsilon:0.9996994000000099, global step:20333, avg_qmax:0.03566407724989183, memory:20000
episode:141, score:29.354714239999993, epsilon:0.9995176000000159, global step:20535, avg_qmax:0.03231036710082599, memory:20000
episode:142, score:5.778448640000002, epsilon:0.9994015000000197, global step:20664, avg_qmax:0.0322578362615187, memory:20000
episode:143, score:5.4515232000000005, epsilon:0.9992926000000233, global step:20785, avg_qmax:0.028426309370181778, memory:20000
episode:144, score:5.922826880000002, epsilon:0.9991612000000276, global step:20931, avg_qmax:0.03780399519975667, memory:20000
episode:145, score:3.8666815999999997, epsilon:0.9990811000000303, global step:21020, avg_qmax:0.0381510259813807, memory:20000
episode:146, score:6.878710399999998, epsilon:0.998935300000035, global step:21182, avg_qmax:0.03637063290555904, memory:20000
episode:147, score:6.3559616000000005, epsilon:0.9988174000000389, global step:21313, avg_qmax:0.03804788019024689, memory:20000
episode:148, score:4.857415040000001, epsilon:0.9986986000000428, global step:21445, avg_qmax:0.036726436337851213, memory:20000
episode:149, score:5.833212800000001, epsilon:0.9985744000000469, global step:21583, avg_qmax:0.03163375252641845, memory:20000
episode:150, score:6.3559616000000005, epsilon:0.998451100000051, global step:21720, avg_qmax:0.03049085039754201, memory:20000
episode:151, score:3.8666815999999997, epsilon:0.9983683000000537, global step:21812, avg_qmax:0.03529369055657931, memory:20000
episode:152, score:6.664632320000001, epsilon:0.9982324000000582, global step:21963, avg_qmax:0.03459404327518103, memory:20000
episode:153, score:4.94702912, epsilon:0.9981253000000617, global step:22082, avg_qmax:0.03141328883396477, memory:20000
